Hymnal,Number,Name,TranslationNumber_HymnalE
E,E385,O how precious are the moments,
E,E386,O love, the golden sunshine bright,
E,E387,O Master of the loving heart,
E,E388,O the deep, deep love of Jesus,
E,E389,On the mount of bliss ascending,
E,E39,Give to our God immortal praise,
E,E390,Our God is loving,
E,E391,Peace that God has given,
E,E392,Peace, O how precious,
E,E393,Seeing I am Jesus' Lamb,
E,E394,Tell me the stories of Jesus,
E,E395,The gift of love,
E,E396,The love of God,
E,E397,Think about His love,
E,E398,To our loving God sing praises,
E,E399,We have a gentle Shepherd,
E,E4,As water to the thirsty,
E,E40,Great is Thy faithfulness,
E,E400,When peace with the Father,
E,E401,When I'm with Him,
E,E402,Where charity and love prevail,
E,E403,Again He'll come,
E,E404,Ascend to Zion's highest,
E,E405,Beyond the sunset,
E,E406,Come ye that love the Lord,
E,E407,Deep river,
E,E408,Forth, forth, my heart, to heaven,
E,E409,Gathering homeward, you pilgrims,
E,E41,How great is God's almighty kindness,
E,E410,Gird on your armour,
E,E411,Glory for me,
E,E412,How will it be?,
E,E413,I see in spirit,
E,E414,My Lord! What a morning,
E,E415,My Saviour first of all,
E,E416,No night there,
E,E417,O Son of God, we wait for Thee,
E,E418,Oh, what a change!,
E,E419,Our King doth come,
E,E42,I sing praises,
E,E420,Rejoice, all ye believers,
E,E421,Safe in the arms of Jesus,
E,E422,Sometime we'll understand,
E,E423,Steal away,
E,E424,The bride has waited, O so long,
E,E425,The Bridegroom comes,
E,E426,The Bridegroom soon will call us,
E,E427,The King shall come,
E,E428,The Lord appears when all is still,
E,E429,There is a land,
E,E43,Immortal, invisible, God only wise,,
E,E430,To Christ, the Lord, be faithful,
E,E431,Wake, arise, for night is flying,
E,E432,We are waiting, blessed Saviour,
E,E433,We shall see Him as He is,
E,E434,When He cometh,
E,E435,When strikes the hour?,
E,E436,Who overcometh,
E,E437,Beautiful,glorious Zion,
E,E438,Beyond the sunset,
E,E439,Beyond, where clouds no more appear,
E,E44,Let all things now living,
E,E440,Depart, dear child,
E,E441,For all the saints,
E,E442,For my homestead,
E,E443,Homeland mine,
E,E444,I have a home beyond the river,
E,E445,I know a realm where Jesus dwells,
E,E446,In God's kingdom I long to be,
E,E447,O the home of my soul is on high,
E,E448,Our home,
E,E449,Shall we meet once more in glory,
E,E45,Let us sing with joyful voices,
E,E450,Shall I meet you at the fountain,
E,E451,Somewhere beyond the sunset,
E,E452,Swing low, sweet chariot,
E,E453,Ten thousand times ten thousand,
E,E454,Ten thousand times ten thousand,
E,E455,The home of the Father,
E,E456,The Lord of harvest beckons,
E,E457,There is a glorious land,
E,E458,Golden harps are sounding,
E,E459,On Your ascension, Lord, alone,
E,E46,Lord, How can I ever praise You?,
E,E460,Breathe on me, breath of God,
E,E461,Breathe upon us, Holy Spirit,
E,E462,Come down, O love divine,
E,E463,Come, gracious Spirit, heavenly Dove,
E,E464,Come, O come, Thou quickning Spirit,
E,E465,Holy Ghost of truth and power,
E,E466,Holy Spirit,
E,E467,Holy Spirit, come confirm us,
E,E468,Holy Spirit, faithful guide,
E,E469,Holy Spirit, heal my soul,
E,E47,Majesty,
E,E470,Holy Spirit, Truth divine,
E,E471,O come, eternal Spirit,
E,E472,O enter, Lord, Thy temple,
E,E473,O Holy Spirit, enter in,
E,E474,O Thou Joyful Whitsuntide,
E,E475,Pentecostal power,
E,E476,Sing praises on this festive day,
E,E477,The comforter has come,
E,E478,Another year is dawning,
E,E479,Bless us, Lord, this final day,
E,E48,May Jesus Christ be praised,
E,E480,Earthly pleasures are but fleeting,
E,E481,Jesus, shall our watchword be,
E,E482,Now this year, too, has ended,
E,E483,The year so still is ending,
E,E484,Today we come anew,
E,E485,Glad hosanna! David's Son,
E,E486,Hosanna, loud hosanna,
E,E487,In humble guise His nearing,
E,E488,With glad psalms,
E,E489,All, Lord, for Thee,
E,E49,Mighty God, we praise Thy name,
E,E490,Blest Man of Calvary,
E,E491,He gave His life,
E,E492,He never said a mumbaling word,
E,E493,I gave My Life for thee,
E,E494,Lead me to Calvary,
E,E495,My faith looks up to Thee,
E,E496,O Lamb of God divine,
E,E497,O sacred Head, now wounded,
E,E498,Rock of Ages, cleft for me,
E,E499,There is a green hill far away,
E,E5,Be still, for the presence of the Lord,
E,E50,Mighty the showers of blessing,
E,E500,The old rugged cross,
E,E501,Were you there,
E,E502,When I survey the wondrous cross,
E,E503,When I survey the wondrous cross,
E,E504,You gave Your precious life,
E,E505,Alleluia! Sing to Jesus,
E,E506,Alleluia, alleluia! Hearts to heaven,
E,E507,Blessing and honour,
E,E508,Christ the Lord is risen today,
E,E509,Christ triumphant, ever reigning,
E,E51,My heart overflows,
E,E510,Crown Him with many crowns,
E,E511,Hallelujah! Resurrected,
E,E512,I know that my Redeemer lives,
E,E513,Jesus Christ is risen today,
E,E514,Joy bells ringing,
E,E515,O beautiful Easter,
E,E516,Rejoice, He has risen,
E,E517,Rejoice, the Lord is King,
E,E518,See, what a morning,
E,E519,Sing all you Christians,
E,E52,Now thank we all our God,
E,E520,The day of resurrection,
E,E521,We welcome glad Easter,
E,E522,Awake, sons of the kingdom,
E,E523,Come, Thou long expected Jesus,
E,E524,Comfort now My people,
E,E525,Hail to the Lord's annointed,
E,E526,Lift up your heads, O mighty gates,
E,E527,Lift up your heads, you mighty gates,
E,E528,O how shall I receive You?,
E,E529,Zion's daughter, O be glad,
E,E53,O for a thousand tongues to sing,
E,E530,All my heart rejoices,
E,E531,Angels from the realms of glory,
E,E532,As with gladness men of old,
E,E533,Away in a manger,
E,E534,Away in a manger,
E,E535,Bright and glorious is the sky,
E,E536,Christians, awake,
E,E537,Come, gather, ye children,
E,E538,Fairest Lord Jesus,
E,E539,From heaven above to earth I come,
E,E54,O that I had a thousand voices,
E,E540,Gentle Mary laid her Child,
E,E541,Glorious light,
E,E542,Go, tell it on the mountain,
E,E543,Good Christian friends, rejoice,
E,E544,Hark! The herald angels sing,
E,E545,In bethlehem the lowly,
E,E546,It came upon a midnight clear,
E,E547,It came upon a midnight clear,
E,E548,Joy to the world,
E,E549,Lo, how a Rose ever blooming,
E,E55,O worship the King,
E,E550,O come, all ye faithful,
E,E551,O holy night,
E,E552,O little town of Bethlehem,
E,E553,O little town of Bethlehem,
E,E554,O morning Star, how fair and bright,
E,E555,O thou joyful Christmastide,
E,E556,O what peace and what rejoicing,
E,E557,On Christmas night the Christians sing,
E,E558,Once in royal David's city,
E,E559,Rejoice,O ye mortals,
E,E56,Praise our God with joyful singing,
E,E560,Silent night, holy night!,
E,E561,The first Nowell,
E,E562,While shepherds watched their flocks by night,
E,E563,Bless this child,
E,E564,Come as a child,
E,E565,Dearest Jesus, we are here,
E,E566,Gentle Shepherd, who His own,
E,E567,Jesus, we pray now,
E,E568,Lord, we bring You our children,
E,E569,By vows of love together bound,
E,E57,Praise the Lord who reigns above,
E,E570,Give Your grace upon their way,
E,E571,God grant you now His loving blessing,
E,E572,Lord, with fervence do we pray,
E,E573,O happiness,
E,E574,O perfect love,
E,E575,Wedding bells are ringing,
E,E576,Before the congregation,
E,E577,I vow this day, Lord, to be loyal,
E,E578,Seek early in life's morning,
E,E579,Christ is made the sure foundation,
E,E58,Praise thou the Lord,
E,E580,Christ is our Cornerstone,
E,E581,We dedicate, now Lord, to Thee,
E,E582,Now, with joy, our song we're singing,
E,E583,What a glorious day of mercy,
E,E584,Within these hearts,
E,E585,Blest be the tie that binds,
E,E586,God be with you,
E,E587,God be with you,
E,E588,Hands lets be joining,
E,E59,Praise thou the Lord, O my soul,
E,E6,Come, Thou almighty King,
E,E60,Praise, my soul, the King of heaven,
E,E61,Should I not to God be singing?,
E,E62,Thank ye the Lord,
E,E63,Thanks be to God,
E,E64,The day thou gavest,
E,E65,Thus far the Lord God has me brought,
E,E66,To God be the glory,
E,E67,To God be the glory,
E,E68,We bring thanks to Jesus,
E,E69,We plough the fields, and scatter,
E,E7,Father God,
E,E70,We praise Thee, Lord,
E,E71,Ah, but one wish,
E,E72,Am I ready,
E,E73,Ask ye what great things I know,
E,E74,At the feet of Jesus,
E,E75,Blessed assurance, Jesus is mine,
E,E76,Bridegroom, You are mine,
E,E77,Christ living in me,
E,E78,Come, follow Me,
E,E79,Dare to be a Daniel,
E,E8,Glorify Thy name,
E,E80,Glorious things of Thee are spoken,
E,E81,Heavenward still our path ascends,
E,E82,I am Jesus little friend,
E,E83,I am the Way,
E,E84,I am thine, O Lord,
E,E85,I do not ask for earthly store,
E,E86,I love to tell the story,
E,E87,I surrender all,
E,E88,I surrender all,
E,E89,I want to be like Jesus,
E,E9,God is in our presence,
E,E90,I will never cease to love you,
E,E91,I will sing of my Redeemer,
E,E92,In Christ alone,
E,E93,Jesus calls us,
E,E94,Jesus Thou art our salvation,
E,E95,Keep me upon Thy pathway,
E,E96,Lord, my Saviour and my Shepherd,
E,E97,Lord, You are the Light,
E,E98,May the mind of Christ, my Saviour,
E,E99,More holiness give me,
HC,HC1,A glorious land awaits us,
HC,HC10,This holy temple,
HC,HC100,Love, to Thee myself I give,
HC,HC101,Jubilate,
HC,HC102,Hands always praying,
HC,HC103,Lead me gently home, Father,
HC,HC104,Thou art my Father,
HC,HC105,Peaceful and calm is my soul,
HC,HC106,Lord, make me strong,
HC,HC107,Glory, glory to God,
HC,HC108,Ascend my song,
HC,HC109,Wholly Thine am I, my Saviour,
HC,HC11,The Lord has cleansed me,
HC,HC110,Commit Thy way unto the Lord,
HC,HC111,Like bells of heaven ringing,
HC,HC112,O man, take counsel and forgive,
HC,HC113,We stand today before Thee,
HC,HC114,Thou gavest once a promise,
HC,HC115,Eternal Father, true and kind,
HC,HC116,Lord, we are waiting,
HC,HC117,God shall wipe away all tears,
HC,HC118,Father, take me by the hand,
HC,HC119,The Lord has done great things,
HC,HC12,How lovely is Zion,
HC,HC120,Hearken!,
HC,HC121,Make me purer,
HC,HC122,Father, we come to Thee,
HC,HC123,See Bethesda's healing water,
HC,HC124,Our life is like a summer's day,
HC,HC125,Lord Jesus, my solace and rest,
HC,HC126,I will not let Thee go,
HC,HC127,To Jesus my life I have given,
HC,HC128,Today, on your heart's acre,
HC,HC129,God to us is strength and power,
HC,HC13,Blest are they,
HC,HC130,Lord, make me worthy,
HC,HC131,God ever true abides,
HC,HC132,The Lord shall preserve thee,
HC,HC133,How great and mighty,
HC,HC134,Holy is God's house,
HC,HC135,The Lord comes soon!,
HC,HC136,O blessed are they,
HC,HC137,Behold, what manner of love,
HC,HC138,The Lord God reigneth,
HC,HC139,Hosanna, blessed is He,
HC,HC14,Thou holy will of my dear Lord,
HC,HC140,Come to life's pure fountain,
HC,HC141,We are on our pilgrim journey,
HC,HC142,Labour in the work of God,
HC,HC143,Who are these in white array?,
HC,HC144,The day of Thy return,
HC,HC145,The yoke of sin is broken,
HC,HC146,I need Thee ev'ry hour,
HC,HC147,Lead us, heav'nly Father,
HC,HC148,Come, ye disconsolate,
HC,HC149,Hear Thou my prayer,
HC,HC15,My times are in Thy hands,
HC,HC150,How lovely upon the mountains,
HC,HC151,Heavenly peace,
HC,HC152,Thy word is a lamp,
HC,HC153,I wait for the Lord,
HC,HC154,In God is our trust,
HC,HC155,Rest in the Lord,
HC,HC156,I will lift up mine eyes,
HC,HC157,Loving Saviour, let Thy mercy,
HC,HC158,God's own beloved,
HC,HC159,The Lord is my Shepherd,
HC,HC16,My son, give me thine heart,
HC,HC160,I kneel in quiet and wonder,
HC,HC161,Humbly, Lord, I bow before Thee,
HC,HC162,Thanks be to Thee,
HC,HC163,We worship the Lord,
HC,HC164,This is the day,
HC,HC165,The Lord is my light,
HC,HC166,God is love,
HC,HC167,Behold, how good and joyful,
HC,HC168,Thou art the Lamb of God,
HC,HC169,Come to Me,
HC,HC17,Behold, I stand at the door,
HC,HC170,The Lord has helped us,
HC,HC171,Take thy shoes off,
HC,HC172,I'll sing Thy praises,
HC,HC173,God is loving,
HC,HC174,The fruit of their labours,
HC,HC175,How shall I praise,
HC,HC176,Lord, in Thee do I trust,
HC,HC177,I dearly love Thy house,
HC,HC178,Lord, if I have Thy mercy,
HC,HC179,Cast thy burden upon the Lord,
HC,HC18,All glory be to God,
HC,HC180,Thy goodness, Lord, extendeth far,
HC,HC181,We find our joy in Thee,
HC,HC182,Lord Jesus, fill this day with love,
HC,HC183,Jesus, my heart's treasure,
HC,HC184,How joyful shall it be,
HC,HC185,There shines a great light,
HC,HC186,Who dwells in the secret place,
HC,HC187,A mountain is our faith,
HC,HC188,Whereto shall I be going?,
HC,HC189,They that wait upon the Lord,
HC,HC19,Jesus through apostles leads us,
HC,HC190,Jesus, take our hand and lead us,
HC,HC191,Fear of God man's soul ennobles,
HC,HC192,Come, Lord, O Bridegroom, come!,
HC,HC193,To God be wholly dedicated,
HC,HC194,He comes, the Hero strong,
HC,HC195,This time of grace,
HC,HC196,Along this earthly valley,
HC,HC197,Of compassion and salvation,
HC,HC198,Peace amidst our earthly fears,
HC,HC199,O come to God's altar,
HC,HC2,Jesus my Saviour,
HC,HC20,Heav'nly Father, send Thy blessing,
HC,HC200,Children of our God, be working,
HC,HC201,Give me more, Lord, of Thy nature,
HC,HC202,Let your light so shine,
HC,HC203,New heavens and new earth,
HC,HC204,We gather together,
HC,HC205,How glad I am,
HC,HC206,Saviour, lead me lest I stray,
HC,HC207,In Thee, O Lord,
HC,HC208,Soon comes the day,
HC,HC209,When He cometh,
HC,HC21,Blest and holy,
HC,HC210,No vict'ry without any battle,
HC,HC211,May our God grant you His blessing,
HC,HC212,Homeward, in peace, go,
HC,HC213,O fashion me, my Master,
HC,HC214,The Lord bless thee,
HC,HC215,The time grows ever shorter,
HC,HC216,There were ninety-nine,
HC,HC217,Thank ye the Lord,
HC,HC218,While shepherds watched,
HC,HC219,This is the day of God,
HC,HC22,God be with you,
HC,HC220,The heav'ns are praising,
HC,HC221,Lord, Thy grace life brings,
HC,HC222,Youth in Christ, bring thanks,
HC,HC223,Praise, honour, thanks,
HC,HC224,God's call I heard,
HC,HC225,Hallelujah,
HC,HC226,Blessed are they,
HC,HC227,Teach us love, eternal Father,
HC,HC228,As the hart panteth,
HC,HC229,Fashion me, dear Lord and Saviour,
HC,HC23,Follow Christ in truth and spirit,
HC,HC230,What does my soul joy afford?,
HC,HC231,When courage you are needing,
HC,HC232,Here is the patience of the saints,
HC,HC233,Father, our Father,
HC,HC234,Who shall separate us?,
HC,HC235,How fleeting is man's time,
HC,HC236,Our Father, our Adviser,
HC,HC237,How holy is this place,
HC,HC238,Gird on your armour,
HC,HC239,O how shall I receive Thee?,
HC,HC24,My heart and soul are joyful,
HC,HC240,All who seek happiness,
HC,HC241,Reflecting on Thy grace,
HC,HC242,How wonderful the name of Jesus,
HC,HC243,Unto the Father's name,
HC,HC244,I will fill this house with glory,
HC,HC245,Our longing hearts have been prepared,
HC,HC246,Here's my soul,
HC,HC247,O Zion, sweet home of the blest,
HC,HC248,The bridal souls await Thee now,
HC,HC249,The Lord shall come!,
HC,HC25,A fount of love,
HC,HC250,How sweet are Thy words,
HC,HC251,Lord, grant me mercy,
HC,HC252,I bow down at life's purest fountain,
HC,HC253,Thou gavest me, Lord, life,
HC,HC254,Watch and pray,
HC,HC255,I'm guided by Thy counsel,
HC,HC256,Lord God, in pow'r and glory,
HC,HC257,I was glad,
HC,HC258,Redeem the time,
HC,HC259,Lord, I trust in Thy decision,
HC,HC26,Rejoice! Rejoice! Sing praises,
HC,HC260,Lord, whom I deep in my heart carry,
HC,HC261,O anxious worries, now depart,
HC,HC262,In God's own house,
HC,HC263,Lord, should my earthly need be great,
HC,HC264,Be consoled, ye redeemed,
HC,HC265,Lord Jesus, I in Thee live,
HC,HC266,Take Thou my hand and lead me,
HC,HC267,Come, let us unto God,
HC,HC268,Word of life, O gift from heaven,
HC,HC269,Father, hear our pray'rs unceasing,
HC,HC27,Praise, honour, thanks,
HC,HC270,My soul truly waits on the Lord,
HC,HC271,O taste and see,
HC,HC272,Once I read,
HC,HC273,Oft in this life, confusion governs,
HC,HC274,The goal draws nearer,
HC,HC275,When we walk with the Lord,
HC,HC276,Thou leadest to grace,
HC,HC277,O faithful God and Father,
HC,HC278,In Godly love abiding,
HC,HC279,I am the Bread of life,
HC,HC28,They that sow in tears,
HC,HC280,I will magnify Thee,
HC,HC281,My peaceful heart breathes 'Amen',
HC,HC282,My God and Father,
HC,HC283,Our Father,
HC,HC284,Lord, as once Thy servant stood,
HC,HC285,Create in me a clean heart,
HC,HC286,Redemption for my soul,
HC,HC287,Welcome! God's dear children,
HC,HC288,Wait thou only on the Lord,
HC,HC289,Flow on, Oriver of love,
HC,HC29,Glory, praise and honour,
HC,HC290,As long as their, our earth shall stand,
HC,HC291,If any man keeps My saying,
HC,HC292,Where the trees of life e'er blossom,
HC,HC293,Who overcometh,
HC,HC294,Holy Spirit, fount of blessing,
HC,HC295,Thanks and praise,
HC,HC296,The Lord is my Shepherd,
HC,HC297,Great is the Lord!,
HC,HC298,Lord God, Creator,
HC,HC299,Father of love,
HC,HC3,Rejoice, He has risen!,
HC,HC30,Holy is the Lord of hosts,
HC,HC300,Thee, God, praise we bring,
HC,HC301,When peace with the Father,
HC,HC302,My sheep hear My voice,
HC,HC303,Grace be unto you,
HC,HC304,All honour, Lord, to Thee,
HC,HC305,In the service of the Lord,
HC,HC306,Lift up your heads,
HC,HC307,Father, whate'er of earthly bliss,
HC,HC308,Only yet a few more moments,
HC,HC309,O fount of grace, Lord Jesus Christ,
HC,HC31,All thanks and praises,
HC,HC310,God so loved the world,
HC,HC311,Patient, soul, be patient,
HC,HC312,Almighty God, how wondrous,
HC,HC313,What lies deep within my heart,
HC,HC314,O Thou, my hope,
HC,HC315,Blessed words of hope,
HC,HC316,We praise Thee, O Lord,
HC,HC317,Ah, could I now already be clad,
HC,HC318,Upon the sure foundation,
HC,HC319,The quiet bells are ringing,
HC,HC32,Almighty God,
HC,HC320,As pants the hart,
HC,HC321,Be still, my heart,
HC,HC322,Soul, be silent,
HC,HC323,Lord, here in Thy presence,
HC,HC324,Teach us, O Lord, Thy holy will,
HC,HC325,Just as you are,
HC,HC326,Lord, my time is in Thy hands!,
HC,HC327,Lord, to Thee will I be turning,
HC,HC328,Keep courage still,
HC,HC329,Seek now the last soul,
HC,HC33,Our hearts sing with joy,
HC,HC330,Mighty the showers of blessing,
HC,HC331,Trust in the Lord,
HC,HC332,They that trust in the Lord,
HC,HC333,Unknown the morrow,
HC,HC334,O Shepherd, so tenderly leading,
HC,HC335,Make no plans without the Lord,
HC,HC336,There stands yet a rock,
HC,HC337,Almighty word,
HC,HC338,Jesus, Thou my soul's true friend,
HC,HC339,Seek ye first,
HC,HC34,Lord, take whate'er I have,
HC,HC340,Seek ye the Lord,
HC,HC341,In this hour we pledge devotion,
HC,HC342,I have set watchmen,
HC,HC343,I know a jewel,
HC,HC344,The Lord has chosen Zion,
HC,HC345,Lord, Thou art mine,
HC,HC346,O light of love divine,
HC,HC347,Dear Lord and Saviour of mankind,
HC,HC348,For the mountains shall depart,
HC,HC349,Sweetest joy, the gift of heaven,
HC,HC35,Hear us, blessed Saviour,
HC,HC350,Lord Jesus, come,
HC,HC351,Come and redeem us,
HC,HC352,Here on the earth so full of sorrow,
HC,HC353,Onward and upward,
HC,HC354,See the reapers as they labour,
HC,HC355,We're living in the final hour,
HC,HC356,Ever holiness perceiving,
HC,HC357,Continue in My love,
HC,HC358,O love, that will not let me go,
HC,HC359,God is loving,
HC,HC36,All life poureth forth,
HC,HC360,Since from heaven thou art sent,
HC,HC361,Come to the fount of life,
HC,HC362,A streamlet is flowing,
HC,HC363,The Lord bless thee,
HC,HC364,My Father's call,
HC,HC365,Let your conversation,
HC,HC366,Lord, I have loved Thy habitation,
HC,HC367,Thy sacred place,
HC,HC368,O Father Almighty,
HC,HC369,O sing praises,
HC,HC37,Take my heart,
HC,HC370,Lift up your heads,
HC,HC371,Sing to the Lord,
HC,HC372,Thou, Lord, alone,
HC,HC373,Praise ye the Lord, all ye nations,
HC,HC374,I will sing of the mercies,
HC,HC375,Angels from the realms,
HC,HC376,Glory to God,
HC,HC377,O that I had a thousand voices,
HC,HC378,O praise and be joyful,
HC,HC379,O give thanks unto the Lord,
HC,HC38,Today, God's grace,
HC,HC380,Thy goodness, Lord, extendeth far,
HC,HC381,Praise, my soul, the King of heaven,
HC,HC382,Sing unto God,
HC,HC383,We praise Thee, Lord (Deis),
HC,HC384,We praise Thee, Lord (Füssgen),
HC,HC385,Praise ye the Lord,
HC,HC386,How excellent,
HC,HC387,All hail the pow'r of Jesus' name,
HC,HC388,God's faithful children's earnest pleading,
HC,HC389,I know a realm where Jesus dwells,
HC,HC39,At the living altar,
HC,HC390,Bells guiding homeward,
HC,HC391,I'm but a guest and stranger,
HC,HC392,For my homeland, glorious homeland,
HC,HC393,The Lord of harvest beckons,
HC,HC394,There is a land,
HC,HC395,Therefore the redeemed of the Lord,
HC,HC396,No night there,
HC,HC397,Come now, O soul,
HC,HC398,Holy Ghost, O loving Spirit,
HC,HC399,Come, Spirit, come,
HC,HC4,What you receive this glorious day,
HC,HC40,We shall remain united,
HC,HC400,Breathe on me, breathe of God,
HC,HC401,How can I forget my Lord?,
HC,HC402,Saviour, Thy dying love,
HC,HC403,I am the Way,
HC,HC404,This joyful Eastertide,
HC,HC405,Crown Him with many crowns,
HC,HC406,May God bless you,
HC,HC407,We share your joy this special day,
HC,HC408,For He shall give His angels,
HC,HC409,The Lord shall preserve thee,
HC,HC41,This is the day,
HC,HC410,Silent night,
HC,HC411,Beautiful Saviour,
HC,HC412,It came upon the midnight clear,
HC,HC413,A branch so fair has blossomed,
HC,HC414,O Bethlehem, the lowly,
HC,HC415,Shepherds, rejoice!,
HC,HC416,O little town of Bethlehem,
HC,HC417,All my heart this day rejoices,
HC,HC418,Once again a year has ended,
HC,HC419,Another year in faith I've striven,
HC,HC42,The living word,
HC,HC420,Thou crownest the year with Thy goodness,
HC,HC43,Thou hast cleansed me,
HC,HC44,Strengthen us this day,
HC,HC45,Hosanna we sing,
HC,HC46,Home, sweet home,
HC,HC47,We raise a joyful chorus,
HC,HC48,Thanks and praises,
HC,HC49,Praise, glory, honour,
HC,HC5,Lead me, Saviour, to my rest,
HC,HC50,Pour out Thy blessing,
HC,HC51,At the cross, from Christ,
HC,HC52,God is my song,
HC,HC53,Tho' your sins be as scarlet,
HC,HC54,Joyfully singing,
HC,HC55,Lord, I dearly love,
HC,HC56,Glory be unto God,
HC,HC57,Who is He that's waiting,
HC,HC58,Rise now and shine,
HC,HC59,Father of our fathers,
HC,HC6,Keep me upon Thy pathway,
HC,HC60,Lord, what a blessing,
HC,HC61,A mighty tree of life,
HC,HC62,We thank Thee, dear God,
HC,HC63,How lovely is Zion,
HC,HC64,Be thou faithful unto death,
HC,HC65,Comfort My own,
HC,HC66,Honour to God in the highest,
HC,HC67,The Lord is my Shepherd,
HC,HC68,We praise Thee, Master,
HC,HC69,Throughly wash me,
HC,HC7,Blessed are the pure in heart,
HC,HC70,O Lord of hosts,
HC,HC71,Hark! The morning bells,
HC,HC72,Cast thy burden on the Lord,
HC,HC73,Tis Thee who chose me, Father,
HC,HC74,Give me to drink, Lord,
HC,HC75,Holy, holy, holy,
HC,HC76,To be with Thee, O loving Lord,
HC,HC77,Lord, Lord, we thank Thee now,
HC,HC78,Where'er thou goest,
HC,HC79,Jesus, loving Saviour,
HC,HC8,Earthly joy is ever fleeting,
HC,HC80,Precious,
HC,HC81,When the Lord turns again,
HC,HC82,Silent, O be silent,
HC,HC83,I'm but a stranger here,
HC,HC84,Behold, for quickly I shall come,
HC,HC85,Lord, Lord, come soon!,
HC,HC86,Ev'rything that hath breath,
HC,HC87,He, in whose heart peace abideth,
HC,HC88,Come unto Me,
HC,HC89,Delight thyself in the Lord,
HC,HC9,As now we strive towards the goal,
HC,HC90,This glorious Sunday morning,
HC,HC91,From my soul I sing praises,
HC,HC92,Saviour, keep us ever near Thee,
HC,HC93,Awake!,
HC,HC94,Give me thy heart,
HC,HC95,Take my heart,
HC,HC96,And then at last,
HC,HC97,O Saviour, Lord and Master,
HC,HC98,Lord, Thou hast now heard,
HC,HC99,Hallelujah! Jesus leads me!,
