Hymnal,Number,Name,TranslationNumber_HymnalE
A,A239,Stil in die gees,
A,A24,O glorieryke dag van lig,E26
A,A240,U bid ek aan, o mag van liefde,E376
A,A241,Bly Christus hier getrou steeds,E430
A,A242,Die Heiland kom,E425
A,A243,Ek het van verre,E413
A,A244,Ek lewe vir die dag,
A,A245,Glorie vir my,E411
A,A246,Hy wat oorwin,E436
A,A247,Ja, eens sal ons verstaan,E422
A,A248,Jerusalem,
A,A249,Kom jul wat Hom bemin,E406
A,A25,O God wat eeue lank behoed,E22
A,A250,Nooit nag daar,E416
A,A251,O Jerusalem, Godstuiste,
A,A252,Omgord die lendene, bereid!,E410
A,A253,Ons is waaksaam op U wagtend,E432
A,A254,Ons sal ons Heer aanskou,E433
A,A255,U bruid wag reeds so lank op U,E424
A,A256,Veilig in Jesus arme,E421
A,A257,Verheug tesaam, getroues,E420
A,A258,Voort, voort, my hart na hemel,E408
A,A259,Voorwaar, Hy sal verskyn,E403
A,A26,O God, Jy is verhewe,E21
A,A260,Daar is 'n glorieland,E457
A,A261,Die huis van die Vader,E455
A,A262,Ek ken 'n ryk waar Jesus woon,E445
A,A263,Heerlike, lieflike Sion,E437
A,A264,In ewigheid,
A,A265,In Gods heerlikheid wil ek woon,E446
A,A266,Kry ek jou by die fonteine?,E450
A,A267,Maar dié vertroosting bly,
A,A268,Na my tuiste, soete stilte,E442
A,A269,O my tuiste is daar by die Heer,E447
A,A27,So lief het ons die plek,E28
A,A270,Waar nooit meer wolke hoog oprys,E439
A,A271,Kom tot ons, o Gees van lewe,E464
A,A272,O God, o Gees van lig en lewe,E376
A,A273,O kom, U Gees van waarheid,E471
A,A274,Tree U my hart nou binne,E472
A,A275,Die jaar loop stil ten einde,E483
A,A276,Die jaar snel nou ten einde,E482
A,A277,Jesus sal ons wagwoord wees,E481
A,A278,Vandag plaas ons opnuut,E484
A,A279,Geklee in skaam'le klere,E487
A,A28,U, sal ons eer,
A,A280,Sing jou Koning psalms,E488
A,A281,Sing hosanna! Dawids Seun,E328
A,A282,Aanskou die Heiland, sien die kruis,E502
A,A283,Alles, Heer, vir U,E489
A,A284,Hoor die stem van ewig liefde,
A,A285,O Hoof deur mens geskonde,E497
A,A286,O Lam van God, geseën,E496
A,A287,Op 'n heuwel daar ver,E500
A,A288,Vir jou het ek gesterf,E493
A,A289,Ek weet dat my Verlosser leef!,E516
A,A29,Waardig aanbidding,E29
A,A290,Halleluja! (Isaacs),
A,A291,Jesus Christus leef,
A,A292,Viktoria, my Jesus leef!,
A,A293,Blye tyding,
A,A294,Daar ver in 'n krippie,E533
A,A295,Die Heiland is gebore,
A,A296,Dit is weer Kersfees,
A,A297,Dit kom so sag teen middernag,E547
A,A298,Eng'le van die glorieryke,
A,A299,Hoor! Die engelskare sing,E544
A,A3,Die Sionslied,
A,A30,Ware vreugde gee die Heer,
A,A300,In Betlehem gebore,E545
A,A301,Kom, alle getroues,E550
A,A302,n Rosie spruit ontluikend,E549
A,A303,O vreugdevolle Kersfeestyd,
A,A304,O, die vrolike Kerfeestyd!,E555
A,A305,Skoonste Heer Jesus,E538
A,A306,Stille nag, heilige nag,E560
A,A307,Stralende lig,E541
A,A308,Vreugde op aard,E548
A,A309,Welke vreugde, welke vrede,E556
A,A31,Wees stil in die skadu van die Heer,E5
A,A310,Liefste Jesus, ons is hier,E565
A,A311,Heer, o neem ons bede aan,E572
A,A312,Mag God jul albei seën,E571
A,A313,O groot geluk,E573
A,A314,Aan U wil ek, Heer, trou belowe,E577
A,A315,Vandag voor die gemeente,E576
A,A32,Bring lof aan die Vader (Doane),E66
A,A33,Bring lof aan die Vader (Julius),E67
A,A34,Dank nou die Heer!,E62
A,A35,Ek is vreugdevol,E51
A,A36,Ek prys U, Heer,E70
A,A37,Groot u getrouheid, Heer,E40
A,A38,Grote God, ons loof U, Heer,E49
A,A39,Heer, hoe kan ek Jou genoeg prys?,
A,A4,Eer aan die Vader,
A,A40,Hoe groot is U almagtig goedheid!,E41
A,A41,Jubel nasies, loof die Koning,
A,A42,Juig, al wat leef,
A,A43,Kom, dank die Heer,
A,A44,Kom, volke wat die aard' bewoon,E33
A,A45,Laat ons vrolik sing gesange,E45
A,A46,Loof nou die Here (Ansbach),E59
A,A47,Loof nou die Here (Stralsund),E58
A,A48,Loof, my siel, die Hemelkoning (Goss),E60
A,A49,Loof, my siel, die Hemelkoning (Rodriques),
A,A5,Ek het Jou lief,E19
A,A50,Majesteit,E47
A,A51,Nou dank ons almal God,E52
A,A52,O, had ek duisend tonge, Here,E54
A,A53,Prys ons Heer met blye lied're,E56
A,A54,Prys tot die Vader,
A,A55,Sal ek God nie wil besing nie?,E61
A,A56,Sing Hom 'n loflied,
A,A57,Vir die aardse skeppingsprag,E36
A,A58,Waarmee, Heer, kan ek U lowe? (Davids),E46
A,A59,Waarmee, Heer, kan ek U lowe? (Bourne),
A,A6,Ek het U lief,
A,A60,Aan die Heilands voete,E74
A,A61,Christus, Heer, wie kan vergeet u lyding,
A,A62,Daar is 'n naam,
A,A63,Die Vaderhuis is ons genot,E108
A,A64,Ek behoort aan U,E84
A,A65,Ek bid nie, Heer, om aardsgewin,E85
A,A66,Ek gee alles oor,
A,A67,Ek sal sing van my Verlosser,E91
A,A68,Ek wil sy naam bely,
A,A69,Ek wil U liefhê (König),E110
A,A7,Ek prys die almag van my God,E18
A,A70,Ek wil U liefhê (Davids),
A,A71,Ek wil vertel,
A,A72,Genade vir my,
A,A73,Heer, u woord bekoor my lewe,
A,A74,Heer, my Heiland en my Herder,E96
A,A75,Heerlik, heerlik bou ons God (Gohle),E280
A,A76,Heerlik, heerlik bou ons God (Davids),
A,A77,Hemelwaarts lei onse baan,E81
A,A78,Hy is wonderlik,
A,A79,Hy lewe in my,E77
A,A8,God is in ons midde (Neander),E9
A,A80,Jesus, my Redder (Cupido),
A,A81,Meer heiligheid gun my,E99
A,A82,My Heiland leef,
A,A83,Neem my lewe, God en Heer,E106
A,A84,O grote God,E100
A,A85,Ons wil dit nou verkondig,E114
A,A86,Salig die wete,E75
A,A87,Siel, ontwaak! Ek wil verkondig,E105
A,A88,Staan nou op, jul Godsgetuies,E113
A,A89,Wat 'n glorieryke vaandel,E111
A,A9,God is in ons midde (Lambert),
A,A90,Aan die werk! Aan die werk!,E162
A,A91,Bewaar sy woord,
A,A92,Bly in die lig,
A,A93,Dit is u werk, my God en Heer,E159
A,A94,Ek sal strewe na die lewe,E153
A,A95,Gee vir die Heer net jou beste,E128
A,A96,Geseënde huis,E142
A,A97,Glansryk skyn ons Gods genade,E123
A,A98,Laat ons eerder fokus op die lig,E135
A,A99,Laat ons harte altyd vrolik,E136
BB,BB1,A child’s prayer,
BB,BB10,Christmas is a time,
BB,BB100,Laat ons skyn vir Jesus,
BB,BB101,Laat tog die kindertjies na my toe kom,
BB,BB102,Liefdesgebed,
BB,BB103,Neem my lewe God en Heer,
BB,BB104,Vrolik klink die liedtjies,
BB,BB105,Weet jy hoeveel wolke sweef daar,
BB,BB106,Bulena’ iNkosi nina,
BB,BB107,Belena’iNkosi nina,
BB,BB108,Dumisani iNkosi,
BB,BB109,Gcobani! Culani iinduniso,
BB,BB11,Christmas is a time to love,
BB,BB110,Imibulelo nemibongo,
BB,BB111,Nal’uthando IweNkosi,
BB,BB112,Ndilangazelela ukubuna Wena,
BB,BB113,Nkosi ulikhaka,
BB,BB114,Siyakubulela ngokusigcina nkosi,
BB,BB115,Siyakuzukisa,
BB,BB116,Sohlala singabakho,
BB,BB117,Ubawo unazo zonk’ izinto,
